,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BurntSushi/toml,v0.3.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,999f5c44-828a-4f2c-8a17-9b5fd22f3beb,e513f674-8efd-4899-baf3-d756c355bec0,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Go Logrus,v1.4.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,09a16956-5919-44dd-abfe-26c959332650,d446b690-7416-4551-8f35-9354362eef41,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Go Testify,v1.10.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5271cd46-d193-4af5-b2c2-50a07751f580,a38ebf4c-4f3a-43eb-97db-bc15d0a76224,ad705c59-6893-4980-bdbf-0837f1823cc4
3,GoDoc Text,v0.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,ad705c59-6893-4980-bdbf-0837f1823cc4
4,Golang Protobuf,v1.36.7,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,1dde1dea-6769-41b4-bdc1-f01ca8568b9c,3d238144-44e6-450e-b523-3defbdaed9dc
5,Golang Protobuf,v1.5.4,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,587ad155-8a4a-421d-bab4-c08687b09136,3d238144-44e6-450e-b523-3defbdaed9dc
6,GoogleCloudPlatform/opentelemetry-operations-go,detectors/gcp/v1.27.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f40d086c-df23-490a-90c3-5749af956f63,e98a2f2c-0a6a-46e5-90c2-5e2c9208df04,7cae335f-1193-421e-92f1-8802b4243e93
7,Googleuuid,v1.6.0,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,54fe5fe0-f88f-4c83-988d-59e9fc584133,1a0a8d11-0a35-4597-bf9b-a72841b742b2,3d238144-44e6-450e-b523-3defbdaed9dc
8,OpenCensus,0.2.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f05607e4-f8ed-4bf9-94aa-d8e611cfc252,b84cdcae-e8f2-4d7a-89ae-9dd8f965325f,7cae335f-1193-421e-92f1-8802b4243e93
9,benbjohnson-clock,v1.1.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,409a80e3-62ed-4c60-9a9c-d29b744ca497,0533e2d5-a2f7-4f0b-af59-4dd424cc133a,ad705c59-6893-4980-bdbf-0837f1823cc4
