,Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Overridden By,Created At,Origin name,Origin id,Review Status,Project path,Source/Type,File Match Count,Component Status,Component Notes,Version Notes,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Component origin id,Has License Conflicts
0,,0f1350da-7bbb-4be9-8567-ba36502340ff,17b7cf20-3f3b-454b-a5c1-3c9bb6c9651e,Cats core,2.8.0,2.8.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,org.typelevel:cats-core_2.12:2.8.0,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,6/16/22,1,,,,,,,8f44752b-f28c-4f1a-9984-9c8f754458d5,False
1,,e5797557-804e-440a-a718-285fb2fa2aac,897b10bc-51dd-4f7a-abdc-306b84bea093,Cats kernel,2.8.0,2.8.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,org.typelevel:cats-kernel_2.12:2.8.0,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,6/16/22,1,,,,,,,b1eb78ac-56eb-4ec3-a45d-f1c2fed44fea,False
2,,cb1dd6e6-4d90-4aff-9a45-2b8f6979e7cc,3bc817e9-60e6-449a-b0e4-fc2155157579,HdrHistogram,2.1.12,2.1.12,"d26bcb7d-5bc8-4f05-8942-a3a42728a2e4,cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal OR Public Domain)",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,org.hdrhistogram:HdrHistogram:2.1.12,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,12/10/19,0,DECREASING,7.0,1.0,,,,c272caf2-3610-4230-b9d1-34cc61a885a9,False
3,,69a1f40e-2423-412c-98e3-869fa0919e37,af344229-8dad-43f3-ad9a-938714863357,Jackson-Datatype-JSR310,2.11.4,2.11.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.4,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,12/11/20,28,,,,,,,2ab9300b-669d-4441-b941-77d15e5c01ac,False
4,,93477a6b-05b7-4f6f-a576-818aba23378f,30579da7-25b0-434d-9bc1-93d71732ffc7,Jackson-datatype-jdk8,2.11.4,2.11.4,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.11.4,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,12/11/20,34,,,,,,,8295ed7a-50d0-4847-b851-be2d3b5c51a3,False
5,,eea33624-c4cb-4c71-8ef7-767642d1d611,afd108b0-a33c-496e-b2c4-2a0eb3b9e45d,Jackson-module-Afterburner,2.15.2,2.15.2,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,com.fasterxml.jackson.module:jackson-module-afterburner:2.15.2,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,5/30/23,0,,,,,,,bf19b243-2c52-4daa-8bfe-5182e3606f5a,False
6,,ed9663f6-217e-4f90-9aa5-c74a02cc964c,bf53ed92-265c-42b2-958a-f22bc2cf5772,Java Concurrency Tools Core Library,4.0.1,4.0.1,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,org.jctools:jctools-core:4.0.1,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,8/31/22,0,,,,,,,f2947081-f902-4f03-ab86-e905ced1dce9,False
7,,874c05c9-ed80-4f4b-a936-f00eb05b72e6,e93456bb-8d51-4be1-a5c0-57af8aaa218c,LatencyUtils,2.0.3,2.0.3,"cc875133-df38-4806-9921-473e0ef01a87,a7c69599-62b6-4d06-9ec6-ea688c041c00","(BSD 2-clause ""Simplified"" License OR Creative Commons Zero v1.0 Universal)",PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,org.latencyutils:LatencyUtils:2.0.3,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,12/14/15,0,STABLE,0.0,0.0,,,,b5f0f8d3-4dbc-4992-8c1f-5e4fd5806a6d,False
8,,efd56af9-62c0-430b-84e7-f45fedd08060,3b50b6e2-d81d-4ca0-9288-325d750520f0,Netty Project,4.1.94.Final,4.1.94.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,"Direct Dependency,Transitive Dependency",,DYNAMICALLY_LINKED,True,,7/11/23,"maven, maven, maven, maven, maven, maven, maven","io.netty:netty-resolver:4.1.94.Final, io.netty:netty-handler:4.1.94.Final, io.netty:netty-codec:4.1.94.Final, io.netty:netty-transport:4.1.94.Final, io.netty:netty-common:4.1.94.Final, io.netty:netty-buffer:4.1.94.Final, io.netty:netty-codec-http:4.1.94.Final",NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,6/20/23,1,STABLE,844.0,104.0,,,,"a5dfb111-e25b-47d9-a5ef-263a612dc4b7, baac6612-9df5-46de-a08f-ee5e667cf0ec, e9f13b2f-209a-48c6-8d42-e58edbb2a863, 16795a12-1ee3-4587-a522-2e3fa8d9d70b, 569e0eb1-0bf7-4315-b4ae-813543a521ba, 71d70b0b-e3fb-4beb-8e35-650183c5f534, 7602cc75-d461-461b-b6db-fbd6898192bb",False
9,,51ad849f-4561-4fd8-a57a-efecd9590147,ae5ec116-84c5-4750-adc9-840566059327,Netty/TomcatNative [OpenSSL - Classes],2.0.61.Final,2.0.61.Final,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,True,,7/11/23,maven,io.netty:netty-tcnative-classes:2.0.61.Final,NOT_REVIEWED,couchbase-sdk-scala 1.1.8,KB_COMPONENT,1,UNREVIEWED,,,5/5/23,0,,,,,,,f5854d5d-f8c5-4172-a096-ba82ce73ff6e,False
