,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,"""Java Concurrency in Practice"" book annotations",1.0,Transitive Dependency,Creative Commons Attribution 2.5,PERMISSIVE,NOT_REVIEWED,2a129a42-ad43-4817-a29d-50f124a01c20,7b602d9a-7a77-482a-bf5e-759de52f3d45,b066c1f2-31a8-43d9-9be4-d62e45f5f6bb
1,ASM,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,a5ce5718-168c-4a89-976c-245a004c4397,66643863-cea9-4082-b374-9aa64649cc58,3d238144-44e6-450e-b523-3defbdaed9dc
2,ASM Commons,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,755247aa-5fb2-4ff7-958c-d0bb99e548e8,1d197d1d-23f1-46a2-81d6-a20f0d29f653,3d238144-44e6-450e-b523-3defbdaed9dc
3,ASM Tree,9.9.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,3569f00e-c2ff-4c25-ad6e-013073a37e6a,75c88498-c84a-441f-b58c-11f5c4249252,3d238144-44e6-450e-b523-3defbdaed9dc
4,Android Support Library Annotations,28.0.0,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,458f08fa-5357-40b6-94b2-8d3045a13ca4,907cedde-9aca-4252-bfc7-be407c3db1a6,7cae335f-1193-421e-92f1-8802b4243e93
5,Apache Commons BeanUtils,1.11.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,b75f622a-30da-46e4-a9c9-56f4ab75e22e,abc6227e-8220-40d6-a0fd-1a7d6b5e4f07,7cae335f-1193-421e-92f1-8802b4243e93
6,Apache Commons Collections,3.2.2,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,87ac8642-f639-46fe-ab2b-66e89cca0130,fa88fda6-ca2a-435f-8e62-ce2aa54a90ce,7cae335f-1193-421e-92f1-8802b4243e93
7,Apache Commons Lang,3.8.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,9c0920e4-104a-448e-8192-866544b75890,b164da8b-f95d-4a31-8b03-3a6261bf3c90,7cae335f-1193-421e-92f1-8802b4243e93
8,Apache Commons Logging,1.3.5,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,e2c69634-de94-4eb3-a2c8-67ab59272e53,166162fa-e781-44f8-a0aa-ff2636bb8ee7,7cae335f-1193-421e-92f1-8802b4243e93
9,Apache Commons Text,1.3,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f2c3b205-3e60-4d6c-a8ac-7d044b30f7c6,9bc22689-8303-4caf-80ec-9d301c6c51f1,7cae335f-1193-421e-92f1-8802b4243e93
10,Apache HTTPComponents Core,4.4.14,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ca433569-ea2e-4c78-b53d-106843ec1f58,92d929cf-b12d-4684-9869-ea210b7ae7ba,7cae335f-1193-421e-92f1-8802b4243e93
11,Apache HttpClient,4.5.13,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f624d758-10d3-449d-96d2-d4fc12499fda,7e51b795-43b9-4eaa-9d52-2fd322dddb31,7cae335f-1193-421e-92f1-8802b4243e93
